actor_id,movie_id
nm0000266,tt0082186
nm0000267,tt0247638
nm0000268,tt0077321
nm0000269,tt0120102
nm0000270,tt0105323
nm0000271,tt0160009
nm0000272,tt0086551
nm0000273,tt0449059
nm0000274,tt0134084
nm0000275,tt0190138
nm0000276,tt0120737
nm0000277,tt0083987
nm0000278,tt0104350
nm0000279,tt0132347
nm0000280,tt0078607
nm0000281,tt0367279
nm0000282,tt0120512
nm0000283,tt0114608
nm0000284,tt0093058
nm0000285,tt0318374
nm0000286,tt0114814
nm0000287,tt0101393
nm0000288,tt6266538
nm0000289,tt0108330
nm0000290,tt0111255
nm0000291,tt1825683
nm0000292,tt0097703
nm0000293,tt0944947
nm0000294,tt0089175
nm0000295,tt0213149
nm0000296,tt0087799
nm0000297,tt1375666
nm0000298,tt0212346
nm0000299,tt0108358
nm0000300,tt0116209
nm0000301,tt0107120
nm0000302,tt0071877
nm0000303,tt0057197
nm0000304,tt0076009
nm0000305,tt0038576
nm0000306,tt0120915
nm0000307,tt1707386
nm0000308,tt0082340
nm0000309,tt0482571
nm0000310,tt0084827
nm0000311,tt0052996
nm0000312,tt0116287
nm0000313,tt1403865
nm0000314,tt0064116
nm0000315,tt0017382
nm0000316,tt0071230
nm0000317,tt0803096
nm0000318,tt0121164
nm0000319,tt0107076
nm0000320,tt0061395
nm0000321,tt0114814
nm0000322,tt0283832
nm0000323,tt0124315
nm0000324,tt0084112
nm0000325,tt0261983
nm0000326,tt1261945
nm0000327,tt0377092
nm0000328,tt0076299
nm0000329,tt0120812
nm0000330,tt0077631
nm0000331,tt0085995
nm0000332,tt0988047
nm0000333,tt0086312
nm0000334,tt0092263
nm0000335,tt0093010
nm0000336,tt0118564
nm0000337,tt0208988
nm0000338,tt0078788
nm0000339,tt0452608
nm0000340,tt0120577
nm0000341,tt0107290
nm0000342,tt0119488
nm0000343,tt0094964
nm0000344,tt0098084
nm0000345,tt0113097
nm0000346,tt0107034
nm0000347,tt0088930
nm0000348,tt0054331
nm0000349,tt0119360
nm0000350,tt0120586
nm0000351,tt7309348
nm0000352,tt0109707
nm0000353,tt0145487
nm0000354,tt0134119
nm0000355,tt0080684
nm0000356,tt0092546
nm0000357,tt0096943
nm0000358,tt0104691
nm0000359,tt0060475
nm0000360,tt0086200
nm0000361,tt0280665
nm0000362,tt0117008
nm0000363,tt0186566
nm0000364,tt0052918
nm0000365,tt0381681
nm0000366,tt0283832
nm0000367,tt0099334
nm0000368,tt0100935
nm0000369,tt0375679
nm0000370,tt0048280
nm0000371,tt0056758
nm0000372,tt0119528
nm0000373,tt0092455
nm0000374,tt0087182
nm0000375,tt0848228
nm0000376,tt0118691
nm0000377,tt0075860
nm0000378,tt0119229
nm0000379,tt0110148
nm0000380,tt0118632
nm0000381,tt0092099
nm0000382,tt0120255
nm0000383,tt0112130
nm0000384,tt0107688
nm0000385,tt1517451
nm0000386,tt0116629
nm0000387,tt0329101
nm0000388,tt0095647
nm0000389,tt0088847
nm0000390,tt0103772
nm0000391,tt2404639
nm0000392,tt0084652
nm0000393,tt1466074
nm0000394,tt0106598
nm0000395,tt0104409
nm0000396,tt0079285
nm0000397,tt0093437
nm0000398,tt0076729
nm0000399,tt2267998
nm0000400,tt0120655
nm0000401,tt0133093
nm0000402,tt0086190
nm0000403,tt0139414
nm0000404,tt0067309
nm0000405,tt0106028
nm0000406,tt0031971
nm0000407,tt0116629
nm0000408,tt0117731
nm0000409,tt0375679
nm0000410,tt0120514
nm0000411,tt0107130
nm0000412,tt1981128
nm0000413,tt0382932
nm0000414,tt0072431
nm0000415,tt0093437
nm0000416,tt0081633
nm0000417,tt0088763
nm0000418,tt0104714
nm0000419,tt0053472
nm0000420,tt0102059
nm0000421,tt0101507
nm0000422,tt0101410
nm0000423,tt2358891
nm0000424,tt0276751
nm0000425,tt0446750
nm0000426,tt0092890
nm0000427,tt0116225
nm0000428,tt0004972
nm0000429,tt0096463
nm0000430,tt0087928
